Question,Answer
who is at risk for osteoporosis? ?,"the more likely you are to fall, the higher your risk for a fracture. and more severe falls increase your risk for fractures. factors that increase your risk of falling and of fracturing a bone include - decreased muscle strength - poor balance - impaired eyesight - impaired mental abilities - certain medications, such as tranquilizers and muscle relaxants - hazardous elements in your living environment, such as slippery throw rugs and icy sidewalks. decreased muscle strength poor balance impaired eyesight impaired mental abilities certain medications, such as tranquilizers and muscle relaxants hazardous elements in your living environment, such as slippery throw rugs and icy sidewalks."
who is at risk for osteoporosis? ?,"risk factors you can't change some risk factors for osteoporosis cannot be changed. these include - gender. women are at higher risk for osteoporosis than men. they have smaller bones and lose bone more rapidly than men do because of hormone changes that occur after menopause. therefore, if you are a woman, you are at higher risk for osteoporosis. - age. because bones become thinner with age, the older you are, the greater your risk of osteoporosis. - ethnicity. caucasian and asian women are at the highest risk for osteoporosis. this is mainly due to differences in bone mass and density compared with other ethnic groups. african-american and hispanic women are also at risk, but less so. - family history. osteoporosis tends to run in families. if a family member has osteoporosis or breaks a bone, there is a greater chance that you will too. - history of previous fracture. people who have had a fracture after the age of 50 are at high risk of having another. gender. women are at higher risk for osteoporosis than men. they have smaller bones and lose bone more rapidly than men do because of hormone changes that occur after menopause. therefore, if you are a woman, you are at higher risk for osteoporosis. age. because bones become thinner with age, the older you are, the greater your risk of osteoporosis. ethnicity. caucasian and asian women are at the highest risk for osteoporosis. this is mainly due to differences in bone mass and density compared with other ethnic groups. african-american and hispanic women are also at risk, but less so. family history. osteoporosis tends to run in families. if a family member has osteoporosis or breaks a bone, there is a greater chance that you will too. history of previous fracture. people who have had a fracture after the age of 50 are at high risk of having another. risk factors you can change there are other risk factors for osteoporosis that can be changed. - poor diet. getting too little calcium over your lifetime can increase your risk for osteoporosis. not getting enough vitamin d -- either from your diet, supplements, or sunlight -- can also increase your risk for osteoporosis. vitamin d is important because it helps the body absorb calcium. an overall diet adequate in protein and other vitamins and minerals is also essential for bone health. - physical inactivity. not exercising and being inactive or staying in bed for long periods can increase your risk of developing osteoporosis. like muscles, bones become stronger with exercise. - smoking. cigarette smokers may absorb less calcium from their diets. in addition, women who smoke have lower levels of estrogen in their bodies. learn more about smoking and bone health. poor diet. getting too little calcium over your lifetime can increase your risk for osteoporosis. not getting enough vitamin d -- either from your diet, supplements, or sunlight -- can also increase your risk for osteoporosis. vitamin d is important because it helps the body absorb calcium. an overall diet adequate in protein and other vitamins and minerals is also essential for bone health. physical inactivity. not exercising and being inactive or staying in bed for long periods can increase your risk of developing osteoporosis. like muscles, bones become stronger with exercise. smoking. cigarette smokers may absorb less calcium from their diets. in addition, women who smoke have lower levels of estrogen in their bodies. learn more about smoking and bone health. - medications. some commonly used medicines can cause loss of bone mass. these include a type of steroid called glucocorticoids, which are used to control diseases such as arthritis and asthma; some antiseizure drugs; some medicines that treat endometriosis; and some cancer drugs. using too much thyroid hormone for an underactive thyroid can also be a problem. talk to your doctor about the medications you are taking and what you can do to protect your bones. - low body weight. women who are thin -- and small-boned -- are at greater risk for osteoporosis. medications. some commonly used medicines can cause loss of bone mass. these include a type of steroid called glucocorticoids, which are used to control diseases such as arthritis and asthma; some antiseizure drugs; some medicines that treat endometriosis; and some cancer drugs. using too much thyroid hormone for an underactive thyroid can also be a problem. talk to your doctor about the medications you are taking and what you can do to protect your bones. low body weight. women who are thin -- and small-boned -- are at greater risk for osteoporosis. use this checklist to find out if you are at risk for weak bones. many of these risk factors, both ones you can change and ones you cannot change, affect peak bone mass, which is when your bones achieve maximum strength and density. because high peak bone density can reduce osteoporosis risk later in life, it makes sense to pay more attention to those factors that affect peak bone mass. learn more about peak bone mass."
who is at risk for osteoporosis? ?,"here are risk factors for osteoporosis that you can control. - poor diet. getting too little calcium over your lifetime can increase your risk for osteoporosis. not getting enough vitamin d -- either from your diet, supplements, or sunlight -- can also increase your risk for osteoporosis. vitamin d is important because it helps the body absorb calcium. an overall diet adequate in protein and other vitamins and minerals is also essential for bone health. - physical inactivity. not exercising and being inactive or staying in bed for long periods can increase your risk of developing osteoporosis. like muscles, bones become stronger with exercise. - smoking. cigarette smokers may absorb less calcium from their diets. in addition, women who smoke have lower levels of estrogen in their bodies. learn more about smoking and bone health. - medications. some commonly used medicines can cause loss of bone mass. these include a type of steroid called glucocorticoids, which are used to control diseases such as arthritis and asthma; some antiseizure drugs; some medicines that treat endometriosis; and some cancer drugs. using too much thyroid hormone for an underactive thyroid can also be a problem. talk to your doctor about the medications you are taking and what you can do to protect your bones. - low body weight. women who are thin -- and small-boned -- are at greater risk for osteoporosis. poor diet. getting too little calcium over your lifetime can increase your risk for osteoporosis. not getting enough vitamin d -- either from your diet, supplements, or sunlight -- can also increase your risk for osteoporosis. vitamin d is important because it helps the body absorb calcium. an overall diet adequate in protein and other vitamins and minerals is also essential for bone health. physical inactivity. not exercising and being inactive or staying in bed for long periods can increase your risk of developing osteoporosis. like muscles, bones become stronger with exercise. smoking. cigarette smokers may absorb less calcium from their diets. in addition, women who smoke have lower levels of estrogen in their bodies. learn more about smoking and bone health. medications. some commonly used medicines can cause loss of bone mass. these include a type of steroid called glucocorticoids, which are used to control diseases such as arthritis and asthma; some antiseizure drugs; some medicines that treat endometriosis; and some cancer drugs. using too much thyroid hormone for an underactive thyroid can also be a problem. talk to your doctor about the medications you are taking and what you can do to protect your bones. low body weight. women who are thin -- and small-boned -- are at greater risk for osteoporosis."
what are the treatments for parkinson's disease ?,"deep brain stimulation deep brain stimulation, or dbs, is a surgical procedure used to treat a variety of disabling disorders. it is most commonly used to treat the debilitating symptoms of parkinsons disease. deep brain stimulation uses an electrode surgically implanted into part of the brain. the electrodes are connected by a wire under the skin to a small electrical device called a pulse generator that is implanted in the chest. the pulse generator and electrodes painlessly stimulate the brain in a way that helps to stop many of the symptoms of parkinson's such as tremor, bradykinesia, and rigidity. dbs is primarily used to stimulate one of three brain regions: the subthalamic nucleus, the globus pallidus, or the thalamus. researchers are exploring optimal generator settings for dbs, whether dbs of other brain regions will also improve symptoms of parkinsons disease, and also whether dbs may slow disease progression. deep brain stimulation usually reduces the need for levodopa and related drugs, which in turn decreases dyskinesias and other side effects. it also helps to relieve on-off fluctuation of symptoms. people who respond well to treatment with levodopa tend to respond well to dbs. unfortunately, older people who have only a partial response to levodopa may not improve with dbs. complementary and supportive therapies a wide variety of complementary and supportive therapies may be used for parkinson's disease. among these therapies are standard physical, occupational, and speech therapies, which help with gait and voice disorders, tremors and rigidity, and decline in mental functions. other supportive therapies include diet and exercise. diet at this time there are no specific vitamins, minerals, or other nutrients that have any proven therapeutic value in parkinson's disease. some early reports have suggested that dietary supplements might protect against parkinson's. also, a preliminary clinical study of a supplement called coenzyme q10 suggested that large doses of this substance might slow disease progression in people with early-stage parkinson's. this supplement is now being tested in a large clinical trial. other studies are being conducted to find out if caffeine, antioxidants, nicotine, and other dietary factors may help prevent or treat the disease. while there is currently no proof that any specific dietary factor is beneficial, a normal, healthy diet can promote overall well-being for people with parkinson's disease, just as it would for anyone else. a high protein meal, however, may limit levodopa's effectiveness because for a time afterwards less levodopa passes through the blood-brain barrier. exercise exercise can help people with parkinson's improve their mobility and flexibility. it can also improve their emotional well-being. exercise may improve the brain's dopamine production or increase levels of beneficial compounds called neurotrophic factors in the brain. other therapies other complementary therapies include massage therapy, yoga, tai chi, hypnosis, acupuncture, and the alexander technique, which improves posture and muscle activity. there have been limited studies suggesting mild benefits from some of these therapies, but they do not slow parkinson's disease and to date there is no convincing evidence that they help. however, this remains an active area of investigation."
how to diagnose parkinson's disease ?,"there are currently no blood or laboratory tests to diagnose sporadic parkinson's disease. diagnosis is based on a person's medical history and a neurological examination, but the disease can be difficult to diagnose accurately. doctors may sometimes request brain scans or laboratory tests in order to rule out other diseases. however, computed tomography (ct) and magnetic resonance imaging (mri) brain scans of people with parkinson's usually appear normal. recently, the fda (food and drug administration) has approved an imaging technique called datscan, which may help to increase accuracy of the diagnosis of parkinsons disease. since many other diseases have similar features but require different treatments, it is very important to make an exact diagnosis as soon as possible to ensure proper treatment."
what is (are) parkinson's disease ?,"parkinson's disease (pd) is a type of movement disorder. it happens when nerve cells in the brain don't produce enough of a brain chemical called dopamine. sometimes it is genetic, but most cases do not seem to run in families. exposure to chemicals in the environment might play a role. symptoms begin gradually, often on one side of the body. later they affect both sides. they include - trembling of hands, arms, legs, jaw and face - stiffness of the arms, legs and trunk - slowness of movement - poor balance and coordination as symptoms get worse, people with the disease may have trouble walking, talking, or doing simple tasks. they may also have problems such as depression, sleep problems, or trouble chewing, swallowing, or speaking. there is no lab test for pd, so it can be difficult to diagnose. doctors use a medical history and a neurological examination to diagnose it. pd usually begins around age 60, but it can start earlier. it is more common in men than in women. there is no cure for pd. a variety of medicines sometimes help symptoms dramatically. surgery and deep brain stimulation (dbs) can help severe cases. with dbs, electrodes are surgically implanted in the brain. they send electrical pulses to stimulate the parts of the brain that control movement. nih: national institute of neurological disorders and stroke"
what is (are) parkinson's disease ?,"the parkinsons disease biomarkers identification network, or pd-bin, is an initiative developed by the national institute of neurological disorders and stroke to discover and validate biomarkers for parkinsons disease. biomarkers are measurable characteristics that can reveal whether the disease is developing or progressing. biomarkers could help doctors detect parkinsons disease before symptoms appear and improve diagnosis of the disorder."
what are the symptoms of parkinson's disease ?,"parkinson's belongs to a group of neurological conditions called movement disorders. the four main symptoms of parkinson's disease are: - tremor, or trembling in hands, arms, legs, jaw, or head - rigidity, or stiffness of the limbs and trunk - bradykinesia, or slowness of movement - postural instability, or impaired balance. tremor, or trembling in hands, arms, legs, jaw, or head rigidity, or stiffness of the limbs and trunk bradykinesia, or slowness of movement postural instability, or impaired balance. other symptoms include depression, emotional changes, difficulty swallowing, speech changes, urinary problems, sleep problems, and dementia and other cognitive problems. parkinson's symptoms usually begin gradually and get worse over time. as the symptoms become more severe, people with the disorder may have difficulty walking, talking, or completing other simple tasks. they also experience non-motor, or movement, symptoms including mental and behavioral changes, sleep problems, depression, memory difficulties, and fatigue. parkinson's disease not only affects the brain, but the entire body. while the brain involvement is responsible for the core features, other affected locations contribute to the complicated picture of parkinson's."
what research (or clinical trials) is being done for parkinson's disease ?,"in recent years, research on parkinson's has advanced to the point that halting the progression of the disease, restoring lost function, and even preventing the disease are all considered realistic goals. while the goal of preventing parkinson's disease may take years to achieve, researchers are making great progress in understanding and treating it. genetics research one of the most exciting areas of parkinson's research is genetics. studying the genes responsible for inherited cases can help researchers understand both inherited and sporadic cases of the disease. identifying gene defects can also help researchers - understand how parkinson's occurs - develop animal models that accurately mimic the death of nerve cells in humans - identify new approaches to drug therapy - improve diagnosis. understand how parkinson's occurs develop animal models that accurately mimic the death of nerve cells in humans identify new approaches to drug therapy improve diagnosis. researchers funded by the national institute of neurological disorders and stroke are gathering information and dna samples from hundreds of families with members who have parkinson's and are conducting large-scale studies to identify gene variants that are associated with increased risk of developing the disease. they are also comparing gene activity in parkinson's with gene activity in similar diseases such as progressive supranuclear palsy. in addition to identifying new genes for parkinson's disease, researchers are trying to learn about the function of genes known to be associated with the disease, and about how gene mutations cause disease. effects of environmental toxins scientists continue to study environmental toxins such as pesticides and herbicides that can cause parkinson's symptoms in animals. they have found that exposing rodents to the pesticide rotenone and several other agricultural chemicals can cause cellular and behavioral changes that mimic those seen in parkinson's. role of lewy bodies other studies focus on how lewy bodies form and what role they play in parkinson's disease. some studies suggest that lewy bodies are a byproduct of a breakdown that occurs within nerve cells, while others indicate that lewy bodies are protective, helping neurons ""lock away"" abnormal molecules that might otherwise be harmful. identifying biomarkers biomarkers for parkinson's -- measurable characteristics that can reveal whether the disease is developing or progressing -- are another focus of research. such biomarkers could help doctors detect the disease before symptoms appear and improve diagnosis of the disease. they also would show if medications and other types of therapy have a positive or negative effect on the course of the disease. the national disorders of neurological disorders and stroke has developed an initiative, the parkinsons disease biomarkers identification network (pd-bin), designed specifically to address these questions and to discover and validate biomarkers for parkinsons disease. transcranial therapies researchers are conducting many studies of new or improved therapies for parkinson's disease. studies are testing whether transcranial electrical polarization (tep) or transcranial magnetic stimulation (tms) can reduce the symptoms of the disease. in tep, electrodes placed on the scalp are used to generate an electrical current that modifies signals in the brain's cortex. in tms, an insulated coil of wire on the scalp is used to generate a brief electrical current. drug discovery a variety of new drug treatments for parkinson's disease are in clinical trials. several mao-b inhibitors including selegiline, lazabemide, and rasagiline, are being tested to determine if they have neuroprotective effects in people with parkinsons disease. the national institute of neurological disorders and stroke has launched a broad effort to find drugs to slow the progression of parkinson's disease, called net-pd or nih exploratory trials in parkinson's disease. the first studies tested several compounds; one of these, creatine, is now being evaluated in a larger clinical trial. the net-pd investigators are testing a highly purified form of creatine, a nutritional supplement, to find out if it slows the decline seen in people with parkinson's. creatine is a widely used dietary supplement thought to improve exercise performance. cellular energy is stored in a chemical bond between creatine and a phosphate. more recently, net-pd has initiated pilot studies to test pioglitazone, a drug that has been shown to stimulate mitochondrial function. because mitochondrial function may be less active in parkinsons disease, this drug may protect vulnerable dopamine neurons by boosting mitochondrial function. cell implantation another potential approach to treating parkinson's disease is to implant cells to replace those lost in the disease. starting in the 1990s, researchers conducting a controlled clinical trial of fetal tissue implants tried to replace lost dopamine-producing nerve cells with healthy ones from fetal tissue in order to improve movement and the response to medications. while many of the implanted cells survived in the brain and produced dopamine, this therapy was associated with only modest functional improvements, mostly in patients under the age of 60. some of the people who received the transplants developed disabling dyskinesias that could not be relieved by reducing anti-parkinsonian medications. stem cells another type of cell therapy involves stem cells. some stem cells derived from embryos can develop into any kind of cell in the body, while others, called progenitor cells, are less flexible. researchers are developing methods to improve the number of dopamine-producing cells that can be grown from embryonic stem cells in culture. other researchers are also exploring whether stem cells from adult brains might be useful in treating parkinson's disease. recent studies suggest that some adult cells from skin can be reprogrammed to an embryonic-like state, resulting in induced pluripotent stem cells (ipsc) that may someday be used for treatment of parkinsons. in addition, development and characterization of cells from people with sporadic or inherited parkinsons may reveal information about cellular mechanisms of disease and identify targets for drug development. gene therapy a number of early clinical trials are now underway to test whether gene therapy can improve parkinson's disease. genes which are found to improve cellular function in models of parkinson's are inserted into modified viruses. the genetically engineered viruses are then injected into the brains of people with parkinson's disease. clinical studies have focused on the therapeutic potential of neurotrophic factors, including gdnf and neurturin, and enzymes that produce dopamine. these trials will test whether the viruses, by lending to the production of the protective gene product, improve symptoms of parkinson's over time. the national institute of neurological disorders and stroke also supports the morris k. udall centers of excellence for parkinson's disease research program . these centers, located across the usa, study cellular mechanisms underlying parkinsons disease, identify and characterize disease-associated genes, and discover and develop potential therapeutic targets. the centers' multidisciplinary research environment allows scientists to take advantage of new discoveries in the basic, translational and clinical sciences that could lead to clinical advances for parkinsons disease."
what causes parkinson's disease ?,"parkinson's disease occurs when nerve cells, or neurons, in an area of the brain that controls movement die or become impaired. normally, these neurons produce an important brain chemical known as dopamine, but once the neurons become impaired, they produce less dopamine and eventually die. it is this shortage of dopamine that causes the movement problems of people with parkinson's."
what is (are) parkinson's disease ?,"parkinson's disease (pd) belongs to a group of conditions called motor system disorders, which are the result of the loss of dopamine-producing brain cells. the four primary symptoms of pd are tremor, or trembling in hands, arms, legs, jaw, and face; rigidity, or stiffness of the limbs and trunk; bradykinesia, or slowness of movement; and postural instability, or impaired balance and coordination. as these symptoms become more pronounced, patients may have difficulty walking, talking, or completing other simple tasks. pd usually affects people over the age of 60. early symptoms of pd are subtle and occur gradually. in some people the disease progresses more quickly than in others. as the disease progresses, the shaking, or tremor, which affects the majority of people with pd may begin to interfere with daily activities. other symptoms may include depression and other emotional changes; difficulty in swallowing, chewing, and speaking; urinary problems or constipation; skin problems; and sleep disruptions. there are currently no blood or laboratory tests that have been proven to help in diagnosing sporadic pd. therefore the diagnosis is based on medical history and a neurological examination. the disease can be difficult to diagnose accurately. doctors may sometimes request brain scans or laboratory tests in order to rule out other diseases."
what research (or clinical trials) is being done for parkinson's disease ?,genetics is one of the most exciting areas of parkinson's disease research. studying the genes responsible for inherited cases can help researchers understand both inherited and sporadic cases of the disease. sporadic means the disease occurs randomly and does not seem to run in families. identifying gene defects can also help researchers - understand how the disease occurs - develop animal models that accurately mimic the death of nerve cells in human parkinson's disease - identify new drug targets - improve diagnosis. understand how the disease occurs develop animal models that accurately mimic the death of nerve cells in human parkinson's disease identify new drug targets improve diagnosis.
what is (are) parkinson's disease ?,"a brain disorder parkinson's disease is a brain disorder that leads to shaking, stiffness, and difficulty with walking, balance, and coordination. it affects about half a million people in the united states although the numbers may be much higher. the average age of onset is 60 years, and the risk of developing parkinson's goes up with age. parkinson's disease was first described in 1817 by james parkinson, a british doctor who published a paper on what he called ""the shaking palsy."" in this paper, he described the major symptoms of the disease that would later bear his name. four main symptoms parkinson's disease belongs to a group of neurological conditions called movement disorders. the four main symptoms of parkinson's are: - tremor, or trembling in hands, arms, legs, jaw, or head - rigidity, or stiffness of the limbs and trunk - bradykinesia, or slowness of movement - postural instability, or impaired balance. tremor, or trembling in hands, arms, legs, jaw, or head rigidity, or stiffness of the limbs and trunk bradykinesia, or slowness of movement postural instability, or impaired balance. parkinson's symptoms usually begin gradually and get worse over time. as the symptoms become more severe, people with the disorder may have difficulty walking, talking, or completing other simple tasks. they also experience non-motor, or movement, symptoms including mental and behavioral changes, sleep problems, depression, memory difficulties, and fatigue. parkinson's disease not only affects the brain, but the entire body. while the brain involvement is responsible for the core features, other affected locations contribute to the complicated picture of parkinson's. parkinson's disease is both chronic, meaning it lasts for a long time, and progressive, meaning its symptoms grow worse over time. it is not contagious. diagnosis can be difficult about 60,000 americans are diagnosed with parkinson's disease each year. however, it's difficult to know exactly how many have it because many people in the early stages of the disease think their symptoms are due to normal aging and do not seek help from a doctor. also, diagnosis is sometimes difficult because there are no medical tests that can diagnose the disease with certainty and because other conditions may produce symptoms of parkinson's. for example, people with parkinson's may sometimes be told by their doctors that they have other disorders, and people with diseases similar to parkinson's may be incorrectly diagnosed as having parkinson's. a persons good response to the drug levodopa may support the diagnosis. levodopa is the main therapy for parkinsons disease. who is at risk? both men and women can have parkinsons disease. however, the disease affects about 50 percent more men than women. while the disease is more common in developed countries, studies also have found an increased risk of parkinson's disease in people who live in rural areas and in those who work in certain professions, suggesting that environmental factors may play a role in the disorder. researchers are focusing on additional risk factors for parkinsons disease. one clear risk factor for parkinson's is age. the average age of onset is 60 years and the risk rises significantly with advancing age. however, about 5 to 10 percent of people with parkinson's have ""early-onset"" disease which begins before the age of 50. early-onset forms of parkinson's are often inherited, though not always, and some have been linked to specific gene mutations. juvenile parkinsonism in very rare cases, parkinsonian symptoms may appear in people before the age of 20. this condition is called juvenile parkinsonism. it is most commonly seen in japan but has been found in other countries as well. it usually begins with dystonia (sustained muscle contractions causing twisting movements) and bradykinesia (slowness of movement), and the symptoms often improve with levodopa medication. juvenile parkinsonism often runs in families and is sometimes linked to a mutated gene. some cases are inherited evidence suggests that, in some cases, parkinsons disease may be inherited. an estimated 15 to 25 percent of people with parkinson's have a known relative with the disease. people with one or more close relatives who have parkinson's have an increased risk of developing the disease themselves, but the total risk is still just 2 to 5 percent unless the family has a known gene mutation for the disease. a gene mutation is a change or alteration in the dna or genetic material that makes up a gene. researchers have discovered several genes that are linked to parkinson's disease. the first to be identified was alpha-synuclein or snca. inherited cases of parkinsons disease are caused by mutations in the lrrk2, park2 or parkin, park7 or dj-1, pink1, or snca genes, or by mutations in genes that have not yet been identified."
what are the treatments for parkinson's disease ?,"at present, there is no cure for pd, but a variety of medications provide dramatic relief from the symptoms. usually, affected individuals are given levodopa combined with carbidopa. carbidopa delays the conversion of levodopa into dopamine until it reaches the brain. nerve cells can use levodopa to make dopamine and replenish the brain's dwindling supply. although levodopa helps at least three-quarters of parkinsonian cases, not all symptoms respond equally to the drug. bradykinesia and rigidity respond best, while tremor may be only marginally reduced. problems with balance and other symptoms may not be alleviated at all. anticholinergics may help control tremor and rigidity. other drugs, such as bromocriptine, pramipexole, and ropinirole, mimic the role of dopamine in the brain, causing the neurons to react as they would to dopamine. an antiviral drug, amantadine, also appears to reduce symptoms. in may 2006, the fda approved rasagiline to be used along with levodopa for patients with advanced pd or as a single-drug treatment for early pd. in some cases, surgery may be appropriate if the disease doesn't respond to drugs. a therapy called deep brain stimulation (dbs) has now been approved by the u.s. food and drug administration. in dbs, electrodes are implanted into the brain and connected to a small electrical device called a pulse generator that can be externally programmed. dbs can reduce the need for levodopa and related drugs, which in turn decreases the involuntary movements called dyskinesias that are a common side effect of levodopa. it also helps to alleviate fluctuations of symptoms and to reduce tremors, slowness of movements, and gait problems. dbs requires careful programming of the stimulator device in order to work correctly."
who is at risk for parkinson's disease? ?,"about 60,000 americans are diagnosed with parkinson's disease each year. the disease strikes about 50 percent more men than women. the average age of onset is 60 years, and the risk of developing the disease increases with age. parkinson's disease is also more common in developed countries, possibly because of increased exposure to pesticides or other environmental toxins."
what is (are) parkinson's disease ?,"lewy bodies are unusual deposits or clumps of the brain protein alpha-synuclein, along with other proteins, which are seen upon microscopic examination of the brain. many brain cells of people with parkinson's disease contain lewy bodies. researchers do not yet know why lewy bodies form or what role they play in the development of parkinson's disease. the clumps may prevent the cell from functioning normally, or they may actually be helpful, perhaps by keeping harmful proteins ""locked up"" so that the cells can function."
what research (or clinical trials) is being done for peripheral arterial disease (p.a.d.) ?,"the national heart, lung, and blood institute (nhlbi) supports research aimed at learning more about peripheral arterial disease (p.a.d.). for example, nhlbi-supported research on p.a.d. includes studies that - explore whether group walking sessions increase physical activity in people who have p.a.d. - compare how effective certain exercise programs are at reducing leg pain in people who have p.a.d. - examine how inflammation and insulin resistance affect people who have p.a.d. explore whether group walking sessions increase physical activity in people who have p.a.d. compare how effective certain exercise programs are at reducing leg pain in people who have p.a.d. examine how inflammation and insulin resistance affect people who have p.a.d. much of this research depends on the willingness of volunteers to take part in clinical trials. clinical trials test new ways to prevent, diagnose, or treat various diseases and conditions. carefully conducted clinical trials are the fastest and safest way to find treatments that work in people and ways to improve health. for more information about clinical trials related to p.a.d., talk with your doctor. you also can visit the following web sites to learn more about clinical research and to search for clinical trials. - - - - -"
how to prevent peripheral arterial disease (p.a.d.) ?,"treatment and prevention for p.a.d. often includes making long-lasting lifestyle changes, such as - quitting smoking - lowering blood pressure - lowering high blood cholesterol levels - lowering high blood glucose levels if you have diabetes - getting regular physical activity - following a healthy eating plan that's low in total fat, saturated fat, trans fat, cholesterol, and sodium (salt). quitting smoking lowering blood pressure lowering high blood cholesterol levels lowering high blood glucose levels if you have diabetes getting regular physical activity following a healthy eating plan that's low in total fat, saturated fat, trans fat, cholesterol, and sodium (salt). two examples of healthy eating plans are therapeutic lifestyle changes (tlc) and dietary approaches to stop hypertension (dash)."
what is (are) peripheral arterial disease (p.a.d.) ?,"arteries clogged with plaque peripheral arterial disease (p.a.d.) is a disease in which plaque (plak) builds up in the arteries that carry blood to your head, organs, and limbs. plaque is made up of fat, cholesterol, calcium, fibrous tissue, and other substances in the blood. when plaque builds up in the body's arteries, the condition is called atherosclerosis (ath-er-o-skler-o-sis). over time, plaque can harden and narrow the arteries. this limits the flow of oxygen-rich blood to your organs and other parts of your body. p.a.d. usually affects the arteries in the legs, but it can also affect the arteries that carry blood from your heart to your head, arms, kidneys, and stomach. blocked blood flow to your legs can cause pain and numbness. it also can raise your risk of getting an infection in the affected limbs. your body may have a hard time fighting the infection. why is p.a.d. dangerous? over time, the plaque may crack and cause blood clots to form. these blood clots can block arteries, causing pain, numbness, inflammation, and even permanent tissue damage in the affected part of the body. if severe enough, blocked blood flow can cause tissue death (also called gangrene.) in very serious cases, this can lead to leg amputation. p.a.d. currently affects 8 million to 12 million americans. about 1 in every 20 americans over the age of 50 has p.a.d. african americans are more than twice as likely as caucasians to have p.a.d. if you have p.a.d., your risk of coronary artery disease, heart attack, stroke, and transient ischemic attack (""mini-stroke"") is much higher than in people without p.a.d. if you have coronary artery disease, you have a 1 in 3 chance of having blocked leg arteries. although p.a.d. is serious, it is treatable. if you have the disease, it's important to see your doctor regularly and treat the underlying atherosclerosis. other names for peripheral arterial disease - atherosclerotic peripheral arterial disease - claudication (klaw-dih-ka-shen) - hardening of the arteries - leg cramps from poor circulation - peripheral vascular disease - poor circulation - vascular disease atherosclerotic peripheral arterial disease claudication (klaw-dih-ka-shen) hardening of the arteries leg cramps from poor circulation peripheral vascular disease poor circulation vascular disease"
how to diagnose peripheral arterial disease (p.a.d.) ?,"there are several tests used to diagnose p.a.d. these include - an ankle-brachial index (abi). this test compares blood pressure in your ankle to blood pressure in your arm. it shows how well blood is flowing in your limbs. - a doppler ultrasound. this test uses sound waves to show whether a blood vessel is blocked. a blood pressure cuff and special device measure blood flow in the veins and arteries of the limbs. a doppler ultrasound can help find out how where p.a.d. is. - a treadmill test. this test shows if you have any problems during normal walking, how severe your symptoms are, and what level of exercise brings them on. - a magnetic resonance angiogram (mra). this test uses magnetic and radio waves to take pictures of your blood vessels. an mra can find the location of a blocked blood vessel and show how severe the blockage is. - an arteriogram. this test is used to find the exact location of a blocked artery. dye is injected through a needle or catheter (thin tube) into an artery, then an x-ray is taken. the pictures from the x-ray can show the location, type, and extent of the blockage in the artery. - blood tests. these tests check for p.a.d. risk factors such as diabetes and high blood cholesterol levels. an ankle-brachial index (abi). this test compares blood pressure in your ankle to blood pressure in your arm. it shows how well blood is flowing in your limbs. a doppler ultrasound. this test uses sound waves to show whether a blood vessel is blocked. a blood pressure cuff and special device measure blood flow in the veins and arteries of the limbs. a doppler ultrasound can help find out how where p.a.d. is. a treadmill test. this test shows if you have any problems during normal walking, how severe your symptoms are, and what level of exercise brings them on. a magnetic resonance angiogram (mra). this test uses magnetic and radio waves to take pictures of your blood vessels. an mra can find the location of a blocked blood vessel and show how severe the blockage is. an arteriogram. this test is used to find the exact location of a blocked artery. dye is injected through a needle or catheter (thin tube) into an artery, then an x-ray is taken. the pictures from the x-ray can show the location, type, and extent of the blockage in the artery. blood tests. these tests check for p.a.d. risk factors such as diabetes and high blood cholesterol levels."
what causes peripheral arterial disease (p.a.d.) ?,"the most common cause of p.a.d. is atherosclerosis, a buildup of plaque in the arteries. over time, plaque can harden and narrow the arteries. this limits the flow of oxygen-rich blood to your organs and other parts of your body."
